"firstname","lastname","phone","streetaddress","postcode","city"
"John","Johnson","232-2345540","5th Street","23110","Flintsone"
"Mary","Philips","232-310122","Hill Street 3","23322","Flintsone"
"Dan","Davidson","232-1227006","32 Main Road","23130","Flintsone"
"Erick","Wilfrid","232-1227006","71 Pilgrim Avenue","23130","Flintsone"
"Tylar","Orrell","232-1227006","70 Bowman Street","23000","Flintsone"
"Sally","Gareth","232-1227006","4 Goldfield Road","22722","Flintsone"
"Roseanne","Kimball","232-457133","13 Goldfield Road","22712","Flintsone"
"Leyla","Elsi","232-457133","41 Main Road","23130","Flintsone"
"Kevin","Dublin","232-147127","2 Main Street","20010","Flintsone"
"Laura","Jones","232-133147","34 Venice Street","20010","Flintsone"
"Janet","Jones","232-457110","31 Fifth Street","20010","Flintsone"
"Tina","Dublin","232-211555","2 Main Street","20010","Flintsone"
"Tim","Morrison","232-770560","15 Main Boulevard","33106","Flintsone"
"Mike","Ross","232-512123","14 Main Street","20010","Flintsone"
"Lisa","Hurley","232-314330","1 Lake Road","20010","Flintsone"
